letter_idx,stroke_idx,x,y,z
0,0,0.397093,0.068224,0.327713
0,0,0.397093,0.068224,0.277713
0,0,0.397093,0.043224,0.277713
0,1,0.397093,0.068224,0.327713
0,1,0.397093,0.043224,0.327713
0,2,0.397093,0.068224,0.302713
0,2,0.397093,0.048224,0.302713
1,0,0.397093,0.007898,0.315213
1,0,0.397093,0.010930,0.322259
1,0,0.397093,0.015039,0.326602
1,0,0.397093,0.019658,0.327643
1,0,0.397093,0.024147,0.325237
1,0,0.397093,0.027887,0.319717
1,0,0.397093,0.030359,0.311846
1,0,0.397093,0.031224,0.302713
1,0,0.397093,0.030359,0.293579
1,0,0.397093,0.027887,0.285709
1,0,0.397093,0.024147,0.280189
1,0,0.397093,0.019658,0.277783
1,0,0.397093,0.015039,0.278824
1,0,0.397093,0.010930,0.283167
1,0,0.397093,0.007898,0.290213
2,0,0.397093,-0.005776,0.277713
2,0,0.397093,-0.018276,0.327713
2,0,0.397093,-0.030776,0.277713
2,1,0.397093,-0.010776,0.297713
2,1,0.397093,-0.025776,0.297713
3,0,0.397093,-0.042776,0.277713
3,0,0.397093,-0.042776,0.327713
3,0,0.397093,-0.055276,0.297713
3,0,0.397093,-0.067776,0.327713
3,0,0.397093,-0.067776,0.277713
